mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	0					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	1					
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	3	6	
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	2					
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0							4	2	
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6		
2	2	6	6	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	3					
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	4					
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	5					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	6					0
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	7					
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	8		
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	8					
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	7		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	9					
3	3	12	12	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	7		
3	3	14	14	0.0	3/2	3/2	FiguredBass	4/4	1	1	0						1/2	6	4	
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	10					
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	11					1
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	12					1
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	13					
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6__		
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	14					
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	_		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	15					
4	4	16	16	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6		
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	16					2
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	17					
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	18					
